company,item,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g
McDonald’s,Hamburger,250.0,9.0,3.5,0.5,25.0,520.0,31.0,2.0,6.0,12.0
McDonald’s,Cheeseburger,300.0,12.0,6.0,0.5,40.0,750.0,33.0,2.0,6.0,15.0
McDonald’s,Double Cheeseburger,440.0,23.0,11.0,1.5,80.0,1150.0,34.0,2.0,7.0,25.0
McDonald’s,McDouble,390.0,19.0,8.0,1.0,65.0,920.0,33.0,2.0,7.0,22.0
McDonald’s, Quarter Pounder® with Cheese,510.0,26.0,12.0,1.5,90.0,1190.0,40.0,3.0,9.0,29.0
McDonald’s,Double Quarter Pounder® with Cheese,740.0,42.0,19.0,2.5,155.0,1380.0,40.0,3.0,9.0,48.0
McDonald’s,Big Mac®,540.0,29.0,10.0,1.5,75.0,1040.0,45.0,3.0,9.0,25.0
McDonald’s,Big N’ Tasty®,460.0,24.0,8.0,1.5,70.0,720.0,37.0,3.0,8.0,24.0
McDonald’s,Big N’ Tasty® with Cheese,510.0,28.0,11.0,1.5,85.0,960.0,38.0,3.0,8.0,27.0
McDonald’s,Angus Bacon & Cheese,790.0,39.0,17.0,2.0,145.0,2070.0,63.0,4.0,13.0,45.0
McDonald’s,Angus Deluxe,750.0,39.0,16.0,2.0,135.0,1700.0,61.0,4.0,10.0,40.0
McDonald’s,Angus Mushroom & Swiss,770.0,40.0,17.0,2.0,135.0,1170.0,59.0,4.0,8.0,44.0
McDonald’s,Filet-O-Fish®,380.0,18.0,3.5,0.0,40.0,640.0,38.0,2.0,5.0,15.0
McDonald’s,McChicken ®,360.0,16.0,3.0,0.0,35.0,830.0,40.0,2.0,5.0,14.0
McDonald’s,McRib ®,500.0,26.0,10.0,0.0,70.0,980.0,44.0,3.0,11.0,22.0
McDonald’s,Premium Grilled Chicken Classic Sandwich,360.0,9.0,2.0,0.0,65.0,820.0,41.0,4.0,8.0,27.0
