,X,Y,OBJECTID,ticket_number,issued_date,location,description,status,amount,dayofweek,hour,coords
0,,,1,371770D,2023/01/01 01:10:00+00,100 WALTON ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25,Sunday,01,"('43.048044', '-76.153734')"
1,-8477553.68807163,5319927.75735116,2,392244D,2023/01/01 01:02:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Fourth Notice,25,Sunday,01,"('43.0485203', '-76.2427812')"
2,-8477553.68807163,5319927.75735116,3,392245D,2023/01/01 01:03:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Adjudication Pending ,25,Sunday,01,"('43.0485203', '-76.2427812')"
3,,,4,380900D,2023/01/01 14:23:00+00,200 STATE ST N,PRKD BLOCKING CRSSWLK/ALL CO15-316 (A)5,Fourth Notice,60,Sunday,14,"('43.066684', '-76.0765269')"
4,-8473895.34009534,5317075.02067029,5,389527D,2023/01/01 14:45:00+00,100 BUCKINGHAM AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Approved,0,Sunday,14,"('43.03349135', '-76.12227665')"
5,,,6,369468D,2023/01/01 19:23:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Sunday,19,"('43.0467679', '-76.1274027')"
6,,,7,369469D,2023/01/01 19:24:00+00,1500 GENESEE ST E,NONE/ONE LICENSE PLATE/ALL VTL402-1,Adjudication Pending ,25,Sunday,19,"('43.0467679', '-76.1274027')"
7,,,8,369465D,2023/01/01 19:15:00+00,1500 GENESEE ST E,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Sunday,19,"('43.0467679', '-76.1274027')"
8,,,9,369466D,2023/01/01 19:16:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,19,"('43.0467679', '-76.1274027')"
9,,,10,369467D,2023/01/01 19:25:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Sunday,19,"('43.0467679', '-76.1274027')"
10,-8477231.08418952,5318644.53492912,11,SH31357,2023/01/01 13:48:00+00,500 SALINA ST N,HANDICAP PARKING-OFF STREET VTL1203C4,Paid In Full,100,Sunday,13,"('43.0438209', '-76.15243791919212')"
11,-8473520.13775077,5317070.90881115,12,389539D,2023/01/01 20:31:00+00,1000 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60,Sunday,20,"('43.0334685', '-76.1189433')"
12,-8474429.84059921,5316995.52390691,13,369470D,2023/01/01 19:35:00+00,100 DORSET RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,19,"('43.032966900000005', '-76.12705284047584')"
13,-8474308.11275453,5317750.77044262,14,369471D,2023/01/01 19:45:00+00,700 SUMNER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,19,"('43.037936650000006', '-76.12608987597199')"
14,-8474257.51795123,5316415.76625211,15,369472D,2023/01/01 19:53:00+00,100 BROAD ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25,Sunday,19,"('43.027146349999995', '-76.1258977507992')"
