,Title,Rating,directors,actors,voter_count,years,link
0,The Shawshank Redemption,9.2,Frank Darabont ,"[' Tim Robbins', ' Morgan Freeman']","2,710,615",1994,https://www.imdb.com/title/tt0111161/
1,The Godfather,9.2,Francis Ford Coppola ,"[' Marlon Brando', ' Al Pacino']","1,882,483",1972,https://www.imdb.com/title/tt0068646/
2,The Dark Knight,9.0,Christopher Nolan ,"[' Christian Bale', ' Heath Ledger']","2,683,633",2008,https://www.imdb.com/title/tt0468569/
3,The Godfather Part II,9.0,Francis Ford Coppola ,"[' Al Pacino', ' Robert De Niro']","1,285,154",1974,https://www.imdb.com/title/tt0071562/
4,12 Angry Men,9.0,Sidney Lumet ,"[' Henry Fonda', ' Lee J. Cobb']","800,827",1957,https://www.imdb.com/title/tt0050083/
5,Schindler's List,8.9,Steven Spielberg ,"[' Liam Neeson', ' Ralph Fiennes']","1,369,466",1993,https://www.imdb.com/title/tt0108052/
6,The Lord of the Rings: The Return of the King,8.9,Peter Jackson ,"[' Elijah Wood', ' Viggo Mortensen']","1,865,542",2003,https://www.imdb.com/title/tt0167260/
7,Pulp Fiction,8.8,Quentin Tarantino ,"[' John Travolta', ' Uma Thurman']","2,081,146",1994,https://www.imdb.com/title/tt0110912/
8,The Lord of the Rings: The Fellowship of the Ring,8.8,Peter Jackson ,"[' Elijah Wood', ' Ian McKellen']","1,895,085",2001,https://www.imdb.com/title/tt0120737/
9,"The Good, the Bad and the Ugly",8.8,Sergio Leone ,"[' Clint Eastwood', ' Eli Wallach']","769,291",1966,https://www.imdb.com/title/tt0060196/
10,Forrest Gump,8.8,Robert Zemeckis ,"[' Tom Hanks', ' Robin Wright']","2,106,230",1994,https://www.imdb.com/title/tt0109830/
11,Fight Club,8.7,David Fincher ,"[' Brad Pitt', ' Edward Norton']","2,154,615",1999,https://www.imdb.com/title/tt0137523/
12,The Lord of the Rings: The Two Towers,8.7,Peter Jackson ,"[' Elijah Wood', ' Ian McKellen']","1,684,457",2002,https://www.imdb.com/title/tt0167261/
13,Inception,8.7,Christopher Nolan ,"[' Leonardo DiCaprio', ' Joseph Gordon-Levitt']","2,381,496",2010,https://www.imdb.com/title/tt1375666/
14,Star Wars: Episode V - The Empire Strikes Back,8.7,Irvin Kershner ,"[' Mark Hamill', ' Harrison Ford']","1,305,595",1980,https://www.imdb.com/title/tt0080684/
15,The Matrix,8.7,Lana Wachowski ,"[' Keanu Reeves', ' Laurence Fishburne']","1,933,657",1999,https://www.imdb.com/title/tt0133093/
16,Goodfellas,8.7,Martin Scorsese ,"[' Robert De Niro', ' Ray Liotta']","1,175,687",1990,https://www.imdb.com/title/tt0099685/
17,One Flew Over the Cuckoo's Nest,8.6,Milos Forman ,"[' Jack Nicholson', ' Louise Fletcher']","1,017,242",1975,https://www.imdb.com/title/tt0073486/
18,Se7en,8.6,David Fincher ,"[' Morgan Freeman', ' Brad Pitt']","1,673,758",1995,https://www.imdb.com/title/tt0114369/
19,Seven Samurai,8.6,Akira Kurosawa ,"[' Toshirô Mifune', ' Takashi Shimura']","349,456",1954,https://www.imdb.com/title/tt0047478/
20,It's a Wonderful Life,8.6,Frank Capra ,"[' James Stewart', ' Donna Reed']","467,677",1946,https://www.imdb.com/title/tt0038650/
21,The Silence of the Lambs,8.6,Jonathan Demme ,"[' Jodie Foster', ' Anthony Hopkins']","1,449,107",1991,https://www.imdb.com/title/tt0102926/
22,Saving Private Ryan,8.6,Steven Spielberg ,"[' Tom Hanks', ' Matt Damon']","1,406,636",1998,https://www.imdb.com/title/tt0120815/
23,City of God,8.6,Fernando Meirelles ,"[' Alexandre Rodrigues', ' Leandro Firmino']","763,695",2002,https://www.imdb.com/title/tt0317248/
24,Interstellar,8.6,Christopher Nolan ,"[' Matthew McConaughey', ' Anne Hathaway']","1,869,544",2014,https://www.imdb.com/title/tt0816692/
25,Life Is Beautiful,8.6,Roberto Benigni ,"[' Roberto Benigni', ' Nicoletta Braschi']","703,385",1997,https://www.imdb.com/title/tt0118799/
26,The Green Mile,8.6,Frank Darabont ,"[' Tom Hanks', ' Michael Clarke Duncan']","1,317,565",1999,https://www.imdb.com/title/tt0120689/
27,Star Wars,8.5,George Lucas ,"[' Mark Hamill', ' Harrison Ford']","1,378,003",1977,https://www.imdb.com/title/tt0076759/
28,Terminator 2: Judgment Day,8.5,James Cameron ,"[' Arnold Schwarzenegger', ' Linda Hamilton']","1,110,840",1991,https://www.imdb.com/title/tt0103064/
29,Back to the Future,8.5,Robert Zemeckis ,"[' Michael J. Fox', ' Christopher Lloyd']","1,221,210",1985,https://www.imdb.com/title/tt0088763/
30,Spirited Away,8.5,Hayao Miyazaki ,"[' Daveigh Chase', ' Suzanne Pleshette']","775,981",2001,https://www.imdb.com/title/tt0245429/
31,The Pianist,8.5,Roman Polanski ,"[' Adrien Brody', ' Thomas Kretschmann']","843,570",2002,https://www.imdb.com/title/tt0253474/
32,Psycho,8.5,Alfred Hitchcock ,"[' Anthony Perkins', ' Janet Leigh']","679,370",1960,https://www.imdb.com/title/tt0054215/
33,Parasite,8.5,Bong Joon Ho ,"[' Song Kang-ho', ' Lee Sun-kyun']","828,300",2019,https://www.imdb.com/title/tt6751668/
34,Léon: The Professional,8.5,Luc Besson ,"[' Jean Reno', ' Gary Oldman']","1,174,933",1994,https://www.imdb.com/title/tt0110413/
35,The Lion King,8.5,Roger Allers ,"[' Matthew Broderick', ' Jeremy Irons']","1,071,184",1994,https://www.imdb.com/title/tt0110357/
36,Gladiator,8.5,Ridley Scott ,"[' Russell Crowe', ' Joaquin Phoenix']","1,516,946",2000,https://www.imdb.com/title/tt0172495/
37,American History X,8.5,Tony Kaye ,"[' Edward Norton', ' Edward Furlong']","1,132,797",1998,https://www.imdb.com/title/tt0120586/
38,The Departed,8.5,Martin Scorsese ,"[' Leonardo DiCaprio', ' Matt Damon']","1,339,697",2006,https://www.imdb.com/title/tt0407887/
39,The Usual Suspects,8.5,Bryan Singer ,"[' Kevin Spacey', ' Gabriel Byrne']","1,094,944",1995,https://www.imdb.com/title/tt0114814/
40,The Prestige,8.5,Christopher Nolan ,"[' Christian Bale', ' Hugh Jackman']","1,348,239",2006,https://www.imdb.com/title/tt0482571/
41,Whiplash,8.5,Damien Chazelle ,"[' Miles Teller', ' J.K. Simmons']","883,659",2014,https://www.imdb.com/title/tt2582802/
42,Casablanca,8.5,Michael Curtiz ,"[' Humphrey Bogart', ' Ingrid Bergman']","577,692",1942,https://www.imdb.com/title/tt0034583/
43,Grave of the Fireflies,8.5,Isao Takahata ,"[' Tsutomu Tatsumi', ' Ayano Shiraishi']","282,402",1988,https://www.imdb.com/title/tt0095327/
44,Harakiri,8.5,Masaki Kobayashi ,"[' Tatsuya Nakadai', ' Akira Ishihama']","59,309",1962,https://www.imdb.com/title/tt0056058/
45,The Intouchables,8.5,Olivier Nakache ,"[' François Cluzet', ' Omar Sy']","870,150",2011,https://www.imdb.com/title/tt1675434/
46,Modern Times,8.4,Charles Chaplin ,"[' Charles Chaplin', ' Paulette Goddard']","245,652",1936,https://www.imdb.com/title/tt0027977/
47,Once Upon a Time in the West,8.4,Sergio Leone ,"[' Henry Fonda', ' Charles Bronson']","333,760",1968,https://www.imdb.com/title/tt0064116/
48,Rear Window,8.4,Alfred Hitchcock ,"[' James Stewart', ' Grace Kelly']","497,021",1954,https://www.imdb.com/title/tt0047396/
49,Cinema Paradiso,8.4,Giuseppe Tornatore ,"[' Philippe Noiret', ' Enzo Cannavale']","264,925",1988,https://www.imdb.com/title/tt0095765/
50,Alien,8.4,Ridley Scott ,"[' Sigourney Weaver', ' Tom Skerritt']","892,874",1979,https://www.imdb.com/title/tt0078748/
51,City Lights,8.4,Charles Chaplin ,"[' Charles Chaplin', ' Virginia Cherrill']","186,856",1931,https://www.imdb.com/title/tt0021749/
52,Apocalypse Now,8.4,Francis Ford Coppola ,"[' Martin Sheen', ' Marlon Brando']","675,168",1979,https://www.imdb.com/title/tt0078788/
53,Memento,8.4,Christopher Nolan ,"[' Guy Pearce', ' Carrie-Anne Moss']","1,250,845",2000,https://www.imdb.com/title/tt0209144/
54,Django Unchained,8.4,Quentin Tarantino ,"[' Jamie Foxx', ' Christoph Waltz']","1,576,217",2012,https://www.imdb.com/title/tt1853728/
55,Raiders of the Lost Ark,8.4,Steven Spielberg ,"[' Harrison Ford', ' Karen Allen']","976,377",1981,https://www.imdb.com/title/tt0082971/
56,WALL·E,8.4,Andrew Stanton ,"[' Ben Burtt', ' Elissa Knight']","1,128,939",2008,https://www.imdb.com/title/tt0910970/
57,The Lives of Others,8.4,Florian Henckel von Donnersmarck ,"[' Ulrich Mühe', ' Martina Gedeck']","393,332",2006,https://www.imdb.com/title/tt0405094/
58,Sunset Blvd.,8.4,Billy Wilder ,"[' William Holden', ' Gloria Swanson']","224,657",1950,https://www.imdb.com/title/tt0043014/
59,Paths of Glory,8.4,Stanley Kubrick ,"[' Kirk Douglas', ' Ralph Meeker']","200,086",1957,https://www.imdb.com/title/tt0050825/
60,The Shining,8.4,Stanley Kubrick ,"[' Jack Nicholson', ' Shelley Duvall']","1,035,449",1980,https://www.imdb.com/title/tt0081505/
61,The Great Dictator,8.4,Charles Chaplin ,"[' Charles Chaplin', ' Paulette Goddard']","226,601",1940,https://www.imdb.com/title/tt0032553/
62,Avengers: Infinity War,8.4,Anthony Russo ,"[' Robert Downey Jr.', ' Chris Hemsworth']","1,101,036",2018,https://www.imdb.com/title/tt4154756/
63,Witness for the Prosecution,8.4,Billy Wilder ,"[' Tyrone Power', ' Marlene Dietrich']","127,635",1957,https://www.imdb.com/title/tt0051201/
64,Aliens,8.3,James Cameron ,"[' Sigourney Weaver', ' Michael Biehn']","725,423",1986,https://www.imdb.com/title/tt0090605/
65,Spider-Man: Into the Spider-Verse,8.3,Bob Persichetti ,"[' Shameik Moore', ' Jake Johnson']","545,371",2018,https://www.imdb.com/title/tt4633694/
66,American Beauty,8.3,Sam Mendes ,"[' Kevin Spacey', ' Annette Bening']","1,164,006",1999,https://www.imdb.com/title/tt0169547/
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,Stanley Kubrick ,"[' Peter Sellers', ' George C. Scott']","495,905",1964,https://www.imdb.com/title/tt0057012/
68,The Dark Knight Rises,8.3,Christopher Nolan ,"[' Christian Bale', ' Tom Hardy']","1,722,432",2012,https://www.imdb.com/title/tt1345836/
69,Oldboy,8.3,Park Chan-wook ,"[' Choi Min-sik', ' Yoo Ji-tae']","587,979",2003,https://www.imdb.com/title/tt0364569/
70,Inglourious Basterds,8.3,Quentin Tarantino ,"[' Brad Pitt', ' Diane Kruger']","1,470,169",2009,https://www.imdb.com/title/tt0361748/
71,Amadeus,8.3,Milos Forman ,"[' F. Murray Abraham', ' Tom Hulce']","405,720",1984,https://www.imdb.com/title/tt0086879/
72,Coco,8.3,Lee Unkrich ,"[' Anthony Gonzalez', ' Gael García Bernal']","521,321",2017,https://www.imdb.com/title/tt2380307/
73,Toy Story,8.3,John Lasseter ,"[' Tom Hanks', ' Tim Allen']","1,005,469",1995,https://www.imdb.com/title/tt0114709/
74,Joker,8.3,Todd Phillips ,"[' Joaquin Phoenix', ' Robert De Niro']","1,319,679",2019,https://www.imdb.com/title/tt7286456/
75,Braveheart,8.3,Mel Gibson ,"[' Mel Gibson', ' Sophie Marceau']","1,046,724",1995,https://www.imdb.com/title/tt0112573/
76,The Boat,8.3,Wolfgang Petersen ,"[' Jürgen Prochnow', ' Herbert Grönemeyer']","253,508",1981,https://www.imdb.com/title/tt0082096/
77,Avengers: Endgame,8.3,Anthony Russo ,"[' Robert Downey Jr.', ' Chris Evans']","1,154,908",2019,https://www.imdb.com/title/tt4154796/
78,Princess Mononoke,8.3,Hayao Miyazaki ,"[' Yôji Matsuda', ' Yuriko Ishida']","400,784",1997,https://www.imdb.com/title/tt0119698/
79,Once Upon a Time in America,8.3,Sergio Leone ,"[' Robert De Niro', ' James Woods']","356,392",1984,https://www.imdb.com/title/tt0087843/
80,Good Will Hunting,8.3,Gus Van Sant ,"[' Robin Williams', ' Matt Damon']","987,212",1997,https://www.imdb.com/title/tt0119217/
81,Your Name.,8.3,Makoto Shinkai ,"[' Ryunosuke Kamiki', ' Mone Kamishiraishi']","276,743",2016,https://www.imdb.com/title/tt5311514/
82,Singin' in the Rain,8.3,Stanley Donen ,"[' Gene Kelly', "" Donald O'Connor""]","246,221",1952,https://www.imdb.com/title/tt0045152/
83,3 Idiots,8.3,Rajkumar Hirani ,"[' Aamir Khan', ' Madhavan']","405,949",2009,https://www.imdb.com/title/tt1187043/
84,Requiem for a Dream,8.3,Darren Aronofsky ,"[' Ellen Burstyn', ' Jared Leto']","852,335",2000,https://www.imdb.com/title/tt0180093/
85,High and Low,8.3,Akira Kurosawa ,"[' Toshirô Mifune', ' Yutaka Sada']","46,703",1963,https://www.imdb.com/title/tt0057565/
86,Toy Story 3,8.3,Lee Unkrich ,"[' Tom Hanks', ' Tim Allen']","845,529",2010,https://www.imdb.com/title/tt0435761/
87,Capernaum,8.3,Nadine Labaki ,"[' Zain Al Rafeea', ' Yordanos Shiferaw']","92,847",2018,https://www.imdb.com/title/tt8267604/
88,Star Wars: Episode VI - Return of the Jedi,8.3,Richard Marquand ,"[' Mark Hamill', ' Harrison Ford']","1,064,891",1983,https://www.imdb.com/title/tt0086190/
89,2001: A Space Odyssey,8.3,Stanley Kubrick ,"[' Keir Dullea', ' Gary Lockwood']","677,177",1968,https://www.imdb.com/title/tt0062622/
90,Eternal Sunshine of the Spotless Mind,8.3,Michel Gondry ,"[' Jim Carrey', ' Kate Winslet']","1,020,035",2004,https://www.imdb.com/title/tt0338013/
91,Reservoir Dogs,8.3,Quentin Tarantino ,"[' Harvey Keitel', ' Tim Roth']","1,030,879",1992,https://www.imdb.com/title/tt0105236/
92,Come and See,8.3,Elem Klimov ,"[' Aleksey Kravchenko', ' Olga Mironova']","83,121",1985,https://www.imdb.com/title/tt0091251/
93,The Hunt,8.3,Thomas Vinterberg ,"[' Mads Mikkelsen', ' Thomas Bo Larsen']","336,183",2012,https://www.imdb.com/title/tt2106476/
94,Citizen Kane,8.3,Orson Welles ,"[' Orson Welles', ' Joseph Cotten']","446,537",1941,https://www.imdb.com/title/tt0033467/
95,M,8.2,Fritz Lang ,"[' Peter Lorre', ' Ellen Widmann']","160,133",1931,https://www.imdb.com/title/tt0022100/
96,Lawrence of Arabia,8.2,David Lean ,"["" Peter O'Toole"", ' Alec Guinness']","297,772",1962,https://www.imdb.com/title/tt0056172/
97,North by Northwest,8.2,Alfred Hitchcock ,"[' Cary Grant', ' Eva Marie Saint']","331,767",1959,https://www.imdb.com/title/tt0053125/
98,Ikiru,8.2,Akira Kurosawa ,"[' Takashi Shimura', ' Nobuo Kaneko']","80,325",1952,https://www.imdb.com/title/tt0044741/
99,Vertigo,8.2,Alfred Hitchcock ,"[' James Stewart', ' Kim Novak']","406,962",1958,https://www.imdb.com/title/tt0052357/
100,The Apartment,8.2,Billy Wilder ,"[' Jack Lemmon', ' Shirley MacLaine']","184,402",1960,https://www.imdb.com/title/tt0053604/
101,Amélie,8.2,Jean-Pierre Jeunet ,"[' Audrey Tautou', ' Mathieu Kassovitz']","763,606",2001,https://www.imdb.com/title/tt0211915/
102,A Clockwork Orange,8.2,Stanley Kubrick ,"[' Malcolm McDowell', ' Patrick Magee']","839,111",1971,https://www.imdb.com/title/tt0066921/
103,Double Indemnity,8.2,Billy Wilder ,"[' Fred MacMurray', ' Barbara Stanwyck']","159,368",1944,https://www.imdb.com/title/tt0036775/
104,Full Metal Jacket,8.2,Stanley Kubrick ,"[' Matthew Modine', ' R. Lee Ermey']","750,698",1987,https://www.imdb.com/title/tt0093058/
105,Scarface,8.2,Brian De Palma ,"[' Al Pacino', ' Michelle Pfeiffer']","853,739",1983,https://www.imdb.com/title/tt0086250/
106,Hamilton,8.2,Thomas Kail ,"[' Lin-Manuel Miranda', ' Phillipa Soo']","98,455",2020,https://www.imdb.com/title/tt8503618/
107,Incendies,8.2,Denis Villeneuve ,"[' Lubna Azabal', ' Mélissa Désormeaux-Poulin']","181,117",2010,https://www.imdb.com/title/tt1255953/
108,To Kill a Mockingbird,8.2,Robert Mulligan ,"[' Gregory Peck', ' John Megna']","319,564",1962,https://www.imdb.com/title/tt0056592/
109,Heat,8.2,Michael Mann ,"[' Al Pacino', ' Robert De Niro']","664,588",1995,https://www.imdb.com/title/tt0113277/
110,The Sting,8.2,George Roy Hill ,"[' Paul Newman', ' Robert Redford']","266,671",1973,https://www.imdb.com/title/tt0070735/
111,Up,8.2,Pete Docter ,"[' Edward Asner', ' Jordan Nagai']","1,056,200",2009,https://www.imdb.com/title/tt1049413/
112,Top Gun: Maverick,8.2,Joseph Kosinski ,"[' Tom Cruise', ' Jennifer Connelly']","541,087",2022,https://www.imdb.com/title/tt1745960/
113,A Separation,8.2,Asghar Farhadi ,"[' Payman Maadi', ' Leila Hatami']","247,465",2011,https://www.imdb.com/title/tt1832382/
114,Metropolis,8.2,Fritz Lang ,"[' Brigitte Helm', ' Alfred Abel']","176,602",1927,https://www.imdb.com/title/tt0017136/
